,game,number of moves,faulty_move,moves place in top 10,moves score (centipawns),Comments
1394,1.e4 1...Nf6 2.e5 2...Nd5 3.d4 3...g5,2.0,dxe5,"[1, 'None', 3, 'None']","[148, 'None', 72, 'None']",
1395,1.e4 1...Nf6 2.e5 2...Nd5 3.d4 3...e6,2.0,dxe6,"[1, 'None', 3, 'None']","[148, 'None', 72, 'None']",
1396,1.e4 1...Nf6 2.e5 2...h5 3.Nc3 3...a6 4.Nf3 4...g5 5.d4 5...Nc6 6.Bxg5 6...Rg8 7.Bf6 7...exf6 8.d5 8...a5 9.dxc6 9...Bg7 10.Qd4 10...d6 11.Qd3 11...Be6 12.Qd4 12...Bf5,11.0,draw,"[1, 'None', 3, 'None', 4, 'None', 3, 'None', 6, 'None', -100, 'None', 3, 'None', 1, 'None', 5, 'None', 10, 'None', -100, 'None']","[148, 'None', 153, 'None', 157, 'None', 260, 'None', 278, 'None', -100, 'None', 167, 'None', 521, 'None', 561, 'None', 495, 'None', -100, 'None']",
1397,1.e4 1...Nf6 2.e5 2...b5 3.a4 3...c6 4.axb5 4...e6 5.d4 5...Nd5 6.Nf3 6...h6 7.Bd3 7...g6 8.Bxh6 8...Qc7,7.0,Nxd5,"[1, 'None', 10, 'None', 2, 'None', 6, 'None', 6, 'None', 9, 'None', -100, 'None']","[148, 'None', 149, 'None', 240, 'None', 192, 'None', 226, 'None', 221, 'None', -100, 'None']",
1398,1.e4 1...Nf6 2.e5 2...Nd5 3.d4 3...Na6,2.0,d5,"[1, 'None', 3, 'None']","[148, 'None', 72, 'None']",
1399,1.e4 1...Nf6 2.e5 2...c5 3.d4 3...Qa5+ 4.c3# 4...b5 5.Bd2# 5...h5,4.0,Bd2#,"[1, 'None', 3, 'None', 3, 'None', -100, 'None']","[148, 'None', 113, 'None', 133, 'None', -100, 'None']",
1400,1.e4 1...Nf6 2.e5 2...g5 3.d4 3...h5 4.d5 4...Bg7,3.0,Bxh5,"[1, 'None', 5, 'None', 10, 'None']","[148, 'None', 218, 'None', 239, 'None']",
1401,1.e4 1...Nf6 2.e5 2...b6 3.d4 3...h5 4.d5 4...g6,3.0,Bxh5,"[1, 'None', 6, 'None', 7, 'None']","[148, 'None', 118, 'None', 193, 'None']",
1402,1.e4 1...Nf6 2.e5 2...Nc6 3.d4 3...Rg8 4.d5 4...Nb8 5.Bb5 5...Ng4 6.Bc6 6...Nf6,5.0,Bxf6,"[1, 'None', 4, 'None', -100, 'None', 13, 'None', -100, 'None']","[148, 'None', 61, 'None', -100, 'None', 290, 'None', -100, 'None']",
1403,1.e4 1...Nf6 2.e5 2...Ng4 3.Bc4 3...Nxe5 4.d4 4...b5 5.Bxb5 5...h5 6.Nf3 6...Rg8 7.Qe2 7...f5 8.Qxe5 8...Ba6 9.Qd6 9...Bxb5,8.0,Qxb5,"[1, 'None', -100, 'None', 10, 'None', 1, 'None', 16, 'None', -100, 'None', 3, 'None', -100, 'None']","[148, 'None', -100, 'None', -245, 'None', 540, 'None', 82, 'None', -100, 'None', 700, 'None', -100, 'None']",
1404,1.e4 1...Nf6 2.e5 2...g5 3.d4 3...Rg8 4.d5 4...Nc6 5.Nc3 5...h5 6.Nf3 6...Bg7,5.0,Bxh5,"[1, 'None', 5, 'None', 8, 'None', 11, 'None', 5, 'None']","[148, 'None', 218, 'None', 233, 'None', 56, 'None', 336, 'None']",
1405,1.e4 1...Nf6 2.e5 2...e6 3.d4 3...g6 4.d5 4...g5 5.Nf3 5...Ng8 6.Bxg5 6...Nh6,5.0,checkmate,"[1, 'None', 3, 'None', -100, 'None', 6, 'None', 1, 'None']","[148, 'None', 81, 'None', -100, 'None', 150, 'None', 337, 'None']",
1406,1.e4 1...Nf6 2.e5 2...e6 3.d4 3...a6 4.d5 4...c6 5.c4 5...cxd5 6.cxd5 6...Be7 7.Nc3 7...O-O 8.Nf3 8...d6 9.Bd3 9...a5 10.a3 10...Ne4 11.Bxe4 11...g6 12.Bd3 12...dxe5 13.d6 13...Kh8 14.dxe7 14...Nd7,13.0,O-O-O,"[1, 'None', 3, 'None', -100, 'None', 3, 'None', -100, 'None', 3, 'None', 7, 'None', 3, 'None', 9, 'None', 1, 'None', 11, 'None', 12, 'None', 1, 'None']","[148, 'None', 81, 'None', -100, 'None', 53, 'None', -100, 'None', -13, 'None', -27, 'None', -26, 'None', -60, 'None', 503, 'None', 503, 'None', 377, 'None', 820, 'None']",
1407,1.e4 1...Nf6 2.e5 2...Ng8 3.d4 3...g6 4.Bf4 4...a5,3.0,Bxa5,"[1, 'None', 1, 'None', 16, 'None']","[148, 'None', 96, 'None', 80, 'None']",
1408,1.e4 1...Nf6 2.e5 2...h6 3.Nf3 3...Ng4,2.0,Qxg4,"[1, 'None', 5, 'None']","[148, 'None', 101, 'None']",
1409,1.e4 1...Nf6 2.e5 2...Ng4 3.h3 3...Nh2,2.0,Qxh2,"[1, 'None', 8, 'None']","[148, 'None', 21, 'None']",
1410,1.e4 1...Nf6 2.Nc3 2...h6 3.d4 3...d5 4.e5 4...Bd7 5.Bd3 5...Na6 6.Bxa6 6...Qb8 7.Bd3 7...a6 8.Qe2 8...Ne4 9.Nxe4 9...Bb5 10.Nd6+ 10...Kd7,9.0,Qe7+,"[2, 'None', 2, 'None', 1, 'None', 2, 'None', 2, 'None', 1, 'None', 11, 'None', 2, 'None', 18, 'None']","[14, 'None', 137, 'None', 313, 'None', 196, 'None', 469, 'None', 878, 'None', 691, 'None', 775, 'None', 660, 'None']",
1411,1.e4 1...Nf6 2.e5 2...b6,1.0,Bxb6,"[1, 'None']","[148, 'None']",
1412,1.e4 1...Nf6 2.Nc3 2...g5 3.Bc4 3...e6 4.d4 4...h5 5.d5 5...Ng8 6.Nf3 6...Ne7,5.0,Bxg8,"[2, 'None', 1, 'None', 2, 'None', 5, 'None', 9, 'None']","[14, 'None', 696, 'None', 229, 'None', 222, 'None', 226, 'None']",
1413,1.e4 1...Nf6 2.e5 2...h5 3.Qf3 3...Ng8 4.Qg3 4...h4,3.0,Qxg8,"[1, 'None', 7, 'None', 20, 'None']","[148, 'None', 115, 'None', -8, 'None']",
1414,1.e4 1...Nf6 2.e5 2...Ng4 3.d4 3...Na6 4.Bxa6 4...f6 5.Qd3 5...e6,4.0,Qd8#,"[1, 'None', 3, 'None', 2, 'None', -100, 'None']","[148, 'None', 226, 'None', 469, 'None', -100, 'None']",
1415,1.e4 1...Nf6 2.e5 2...g5 3.d4 3...Ng8 4.d5 4...c5 5.c3 5...Qa5 6.Qd2 6...Qa4 7.Qd3 7...a6,6.0,Bd3,"[1, 'None', 5, 'None', -100, 'None', 8, 'None', -100, 'None', 4, 'None']","[148, 'None', 218, 'None', -100, 'None', 253, 'None', -100, 'None', 269, 'None']",
1416,1.e4 1...Nf6 2.e5 2...Rg8 3.d4 3...Ne4,2.0,dxe5,"[1, 'None', 9, 'None']","[148, 'None', 188, 'None']",
1417,1.e4 1...Nf6 2.e5 2...Ng4 3.Bc4 3...Na6 4.d4 4...Nxe5 5.Qe2 5...f6 6.dxe5 6...g6,5.0,Qxe5+,"[1, 'None', -100, 'None', 4, 'None', 13, 'None', 1, 'None']","[148, 'None', -100, 'None', 178, 'None', -181, 'None', 587, 'None']",
1418,1.e4 1...Nf6 2.e5 2...a5 3.d4 3...c6 4.d5 4...b6 5.Bd3 5...Ra6 6.Bxa6 6...d6 7.Bb7 7...Bf5,6.0,Bxf8,"[1, 'None', 6, 'None', -100, 'None', 14, 'None', 4, 'None', 9, 'None']","[148, 'None', 122, 'None', -100, 'None', -47, 'None', 431, 'None', 544, 'None']",
1419,1.e4 1...Nf6 2.e5 2...h6 3.Nf3 3...c5 4.d4 4...Nh7 5.dxc5 5...g6 6.Bxh6 6...g5 7.Bg7 7...Bxg7,6.0,Qxg5,"[1, 'None', 5, 'None', 2, 'None', 1, 'None', -100, 'None', -100, 'None']","[148, 'None', 101, 'None', 222, 'None', 252, 'None', -100, 'None', -100, 'None']",
1420,1.e4 1...Nf6 2.e5 2...e6 3.d4 3...Nc6 4.d5 4...Qe7 5.Nf3 5...a5 6.a4 6...Ne4 7.Bd3 7...Ng3 8.Bxe4 8...Qb4+ 9.Qd2# 9...f5 10.Qxb4# 10...Nxe5,9.0,Qxb4#,"[1, 'None', 3, 'None', -100, 'None', 7, 'None', 20, 'None', 2, 'None', -100, 'None', 6, 'None', 4, 'None']","[148, 'None', 81, 'None', -100, 'None', -131, 'None', -156, 'None', 71, 'None', -100, 'None', -508, 'None', -96, 'None']",
1421,1.e4 1...Nf6 2.e5 2...g5 3.Bc4 3...d6 4.Bxf7+ 4...Kd7 5.Bd5+ 5...c5,4.0,Bxc5,"[1, 'None', 4, 'None', 19, 'None', -100, 'None']","[148, 'None', 231, 'None', 1, 'None', -100, 'None']",
1422,1.e4 1...Nf6 2.e5 2...e6 3.d4 3...h6 4.d5 4...Bc5 5.Nf3 5...Na6 6.Bd3 6...Bb6,5.0,Bxb6,"[1, 'None', 3, 'None', -100, 'None', 17, 'None', 6, 'None']","[148, 'None', 81, 'None', -100, 'None', -116, 'None', 3, 'None']",
1423,1.e4 1...Nf6 2.e5 2...Ne4 3.d4 3...e6,2.0,dxe5,"[1, 'None', 5, 'None']","[148, 'None', 104, 'None']",
1424,1.e4 1...Nf6 2.e5 2...a6 3.d4 3...a5 4.d5 4...Na6 5.Bxa6 5...e6 6.Bb5 6...g5 7.dxe6 7...Ne4 8.Qd4 8...Nd2,7.0,Qd8#,"[1, 'None', 9, 'None', 3, 'None', 2, 'None', 1, 'None', 2, 'None', -100, 'None']","[148, 'None', 82, 'None', 221, 'None', 411, 'None', 595, 'None', 692, 'None', -100, 'None']",
1425,1.e4 1...Nf6 2.e5 2...c5 3.d4 3...Ne4 4.dxc5 4...Qc7 5.Nc3 5...Nxc5 6.Bf4 6...e6,5.0,Bd6,"[1, 'None', 3, 'None', 8, 'None', 12, 'None', 2, 'None']","[148, 'None', 113, 'None', 96, 'None', 2, 'None', 294, 'None']",
1426,1.e4 1...Nf6 2.e5 2...a5 3.d4 3...g5 4.d5 4...h6 5.Nf3 5...e6,4.0,Bg7,"[1, 'None', 6, 'None', 6, 'None', 10, 'None']","[148, 'None', 122, 'None', 309, 'None', 220, 'None']",
1427,1.e4 1...Nf6 2.e5 2...Ng4 3.Bc4 3...h5 4.Bxf7+ 4...Kxf7 5.Qxg4 5...d5,4.0,checkmate,"[1, 'None', -100, 'None', -100, 'None', -100, 'None']","[148, 'None', -100, 'None', -100, 'None', -100, 'None']",
1428,1.e4 1...Nf6 2.e5 2...Ng4 3.Bc4 3...c5 4.Qf3 4...e6 5.d4 5...f5 6.dxc5 6...Qe7 7.Nd2 7...Nc6,6.0,king,"[1, 'None', -100, 'None', -100, 'None', 2, 'None', 10, 'None', 8, 'None']","[148, 'None', -100, 'None', -100, 'None', 58, 'None', -88, 'None', -74, 'None']",
1429,1.e4 1...Nf6 2.e5 2...g6 3.Bc4 3...Ng8 4.Qh5 4...Na6,3.0,Qa5+,"[1, 'None', 3, 'None', -100, 'None']","[148, 'None', 84, 'None', -100, 'None']",
1430,1.e4 1...Nf6 2.e5 2...d5 3.exd6 3...Na6 4.d7 4...Nxd7 5.Bxa6 5...h5,4.0,Bxh5,"[1, 'None', -100, 'None', 5, 'None', 5, 'None']","[148, 'None', -100, 'None', 40, 'None', 15, 'None']",
1431,1.e4 1...Nf6 2.e5 2...b6 3.d4 3...Nd5 4.Bd3 4...Na6 5.Bxa6 5...Nb4 6.Bb7 6...a5 7.Bxa8 7...d6,6.0,Bxa8,"[1, 'None', 6, 'None', 8, 'None', -100, 'None', -100, 'None', 2, 'None']","[148, 'None', 118, 'None', 93, 'None', -100, 'None', -100, 'None', 782, 'None']",
1432,1.e4 1...Nf6 2.e5 2...c5 3.d4 3...d6 4.dxc5 4...Rg8 5.Nf3 5...Nh5,4.0,Bxh5,"[1, 'None', 3, 'None', 5, 'None', 2, 'None']","[148, 'None', 113, 'None', 18, 'None', 194, 'None']",
1433,1.e4 1...Nf6 2.e5 2...g6 3.d4 3...a5 4.d5 4...Ng8,3.0,Bxa5,"[1, 'None', 8, 'None', 4, 'None']","[148, 'None', 55, 'None', 147, 'None']",
1434,1.e4 1...Nf6 2.e5 2...d5 3.exd6 3...a6 4.d7 4...Kxd7 5.Bxa6 5...Ne4,4.0,Bxa6,"[1, 'None', -100, 'None', 9, 'None', -100, 'None']","[148, 'None', -100, 'None', -29, 'None', -100, 'None']",
1435,1.e4 1...Nf6 2.e5 2...Nc6 3.d4 3...d6 4.Nf3 4...Nxe5 5.dxe5 5...c6 6.Bd3 6...Nd7 7.Bf4 7...Qb6 8.Nc3 8...g5 9.Bxg5 9...Kd8 10.Qd2 10...Ke8,9.0,Qd8#,"[1, 'None', 4, 'None', 4, 'None', 1, 'None', -100, 'None', 11, 'None', 10, 'None', 3, 'None', 7, 'None']","[148, 'None', 61, 'None', -55, 'None', 488, 'None', -100, 'None', 277, 'None', 287, 'None', 386, 'None', 498, 'None']",
1436,1.e4 1...Nf6 2.e5 2...d5 3.exd6 3...Nbd7 4.dxc7 4...Ne5,3.0,Nd4,"[1, 'None', -100, 'None', 1, 'None']","[148, 'None', -100, 'None', 49, 'None']",
1437,1.e4 1...Nf6 2.e5 2...a6 3.d4 3...h6 4.d5 4...Nh5 5.Nc3 5...c6 6.Nf3 6...Rg8,5.0,Bxh5,"[1, 'None', 9, 'None', 13, 'None', 6, 'None', 20, 'None']","[148, 'None', 82, 'None', 118, 'None', 303, 'None', 166, 'None']",
1438,1.e4 1...Nf6 2.e5 2...h5 3.Nf3 3...Rh7 4.d4 4...Nd5,3.0,Bxh7,"[1, 'None', 2, 'None', 4, 'None']","[148, 'None', 157, 'None', 395, 'None']",
1439,1.e4 1...Nf6 2.e5 2...Ne4 3.d4 3...h6,2.0,dxe5,"[1, 'None', 5, 'None']","[148, 'None', 104, 'None']",
1440,1.e4 1...Nf6 2.e5 2...Na6 3.d4 3...h6 4.Bxa6 4...c6,3.0,Bxc8,"[1, 'None', 8, 'None', 2, 'None']","[148, 'None', 118, 'None', 501, 'None']",
1441,1.e4 1...Nf6 2.e5 2...Nd5 3.d4 3...Nb4 4.a3 4...N4c6 5.Bb5+ 5...Nxe5 6.dxe5 6...h6 7.Qg4 7...Rg8 8.Qxg7 8...a6 9.Qxh6 9...Bg7 10.Qxg7 10...a5 11.Qxg8+,9.0,Qxg8+,"[1, 'None', 3, 'None', 3, 'None', 9, 'None', 1, 'None', -100, 'None', -100, 'None', 8, 'None', 11, 'None', 1]","[148, 'None', 72, 'None', 196, 'None', 80, 'None', 462, 'None', -100, 'None', -100, 'None', -384, 'None', -116, 'None', None]",
1442,1.e4 1...Nf6 2.e5 2...a6 3.d4 3...Nc6 4.d5 4...Ng4 5.Bf4 5...f5 6.Bd3 6...a5,5.0,Bxg7,"[1, 'None', 9, 'None', -100, 'None', -100, 'None', 20, 'None']","[148, 'None', 82, 'None', -100, 'None', -100, 'None', 155, 'None']",
1443,1.e4 1...Nf6 2.e5 2...Na6 3.Bxa6 3...c5 4.d4 4...b5 5.Bb7 5...g6 6.Bxc8 6...Rxc8 7.d5 7...Bh6 8.Nf3 8...O-O 9.Qd4 9...Nxd5 10.Qxd5 10...Bd2+ 11.Kd1# 11...Re8,10.0,Qxe8#,"[1, 'None', 2, 'None', -100, 'None', -100, 'None', 3, 'None', 2, 'None', 10, 'None', -100, 'None', 1, 'None', 7, 'None']","[148, 'None', 406, 'None', -100, 'None', -100, 'None', 514, 'None', 595, 'None', 436, 'None', -100, 'None', 319, 'None', 495, 'None']",
1444,1.e4 1...Nf6 2.e5 2...h6 3.Nf3 3...c5 4.d4 4...cxd4 5.Bxh6 5...gxh6,4.0,Qxh6,"[1, 'None', 5, 'None', 2, 'None', -100, 'None']","[148, 'None', 101, 'None', 222, 'None', -100, 'None']",
1445,1.e4 1...Nf6 2.e5 2...a5 3.d4 3...d6 4.d5 4...a4 5.c3 5...g5,4.0,Bg7,"[1, 'None', 6, 'None', -100, 'None', -100, 'None']","[148, 'None', 122, 'None', -100, 'None', -100, 'None']",
1446,1.e4 1...Nf6 2.e5 2...g5 3.d4 3...Ne4,2.0,dxe5,"[1, 'None', 5, 'None']","[148, 'None', 218, 'None']",
1447,1.e4 1...Nf6 2.e5 2...Na6 3.d4 3...g5 4.d5 4...Ne4 5.Nd2 5...b5 6.Bd3 6...Nb4 7.a3 7...Nc3 8.Bc4 8...Nxd1,7.0,Nxd1,"[1, 'None', 8, 'None', 6, 'None', 16, 'None', 14, 'None', -100, 'None', 18, 'None']","[148, 'None', 118, 'None', 276, 'None', 175, 'None', 221, 'None', -100, 'None', -368, 'None']",
1448,1.e4 1...Nf6 2.e5 2...Nc6 3.d4 3...Ne4,2.0,dxe5,"[1, 'None', 4, 'None']","[148, 'None', 61, 'None']",
1449,1.e4 1...Nf6 2.e5 2...c6 3.d4 3...e6 4.d5 4...Bc5 5.Nc3 5...Qe7 6.Bd3 6...Bd4 7.Nce2 7...Bxb2 8.Rb1 8...Ne4 9.Nf3 9...Nxf2,8.0,Qd1,"[1, 'None', 2, 'None', -100, 'None', 6, 'None', 7, 'None', -100, 'None', 6, 'None', 5, 'None']","[148, 'None', 116, 'None', -100, 'None', 11, 'None', 17, 'None', -100, 'None', -149, 'None', 155, 'None']",
1450,1.d4 1...d5 2.c4 2...b6 3.cxd5 3...b5,2.0,Bxb5,"[1, 'None', 1, 'None']","[204, 'None', 178, 'None']",
1451,1.d4 1...d5 2.c4 2...h6 3.Nc3 3...dxc4 4.e3 4...Qd7 5.Bxc4 5...f6 6.Nf3 6...f5 7.d5 7...b6 8.d6 8...b5 9.Bd3 9...cxd6,8.0,Bxh6,"[1, 'None', 5, 'None', 2, 'None', 2, 'None', 3, 'None', -100, 'None', -100, 'None', 14, 'None']","[204, 'None', 60, 'None', 62, 'None', 158, 'None', 367, 'None', -100, 'None', -100, 'None', 189, 'None']",
1452,1.d4 1...d5 2.c4 2...h6 3.Nc3 3...dxc4 4.e3 4...Nf6 5.Bxc4 5...a5 6.Bd3 6...e6 7.Nf3 7...Nbd7 8.e4 8...Nb6 9.e5 9...Nbd7 10.Bb5+ 10...a4 11.Bxa4 11...Ba3,10.0,Qa1,"[1, 'None', 5, 'None', 2, 'None', 3, 'None', 3, 'None', 1, 'None', 1, 'None', 16, 'None', 16, 'None', 3, 'None']","[204, 'None', 60, 'None', 62, 'None', 70, 'None', 114, 'None', 140, 'None', 132, 'None', 103, 'None', 120, 'None', 185, 'None']",
1453,1.d4 1...d5 2.c4 2...c6 3.Nc3 3...a6 4.e4 4...g6 5.Bg5 5...Qd6 6.Bxf6 6...e5 7.dxe5 7...Qd7 8.Nf3 8...dxe4 9.Nxe4 9...Qc7 10.Bd3 10...Bd7,9.0,Bd4,"[1, 'None', 2, 'None', 8, 'None', 20, 'None', -100, 'None', 3, 'None', 9, 'None', 3, 'None', 7, 'None']","[204, 'None', 42, 'None', 43, 'None', 35, 'None', -100, 'None', 310, 'None', 82, 'None', 66, 'None', 279, 'None']",
1454,1.d4 1...d5 2.c4 2...Bg4 3.Nf3 3...Nc6 4.e3 4...Rc8 5.Bd3 5...Bxf3 6.Qxf3 6...a5,5.0,Bxa5,"[1, 'None', 5, 'None', 2, 'None', 12, 'None', 2, 'None']","[204, 'None', 56, 'None', 58, 'None', 36, 'None', 83, 'None']",
1455,1.d4 1...d5 2.c4 2...c6 3.e3 3...Nh6 4.Nc3 4...e6,3.0,Bxh6,"[1, 'None', 6, 'None', 1, 'None']","[204, 'None', 21, 'None', 98, 'None']",
1456,1.d4 1...d5 2.c4 2...Qd6 3.Nc3 3...b5 4.cxd5 4...Ba6,3.0,dxc6,"[1, 'None', 5, 'None', 2, 'None']","[204, 'None', 103, 'None', 671, 'None']",
1457,1.d4 1...d5 2.c4 2...a6 3.cxd5 3...Bf5 4.Nc3 4...a5 5.e3 5...h6,4.0,d3,"[1, 'None', 1, 'None', 1, 'None', 11, 'None']","[204, 'None', 106, 'None', 230, 'None', 254, 'None']",
1458,1.d4 1...d5 2.c4 2...c5 3.Nc3 3...dxc4 4.e3 4...Qd6 5.Bxc4 5...f5 6.d5 6...g5,5.0,d6,"[1, 'None', 4, 'None', 2, 'None', 7, 'None', 1, 'None']","[204, 'None', 37, 'None', 57, 'None', 61, 'None', 495, 'None']",
1459,1.d4 1...d5 2.c4 2...Be6 3.Nc3 3...Nf6 4.Nf3 4...Qc8 5.Bf4 5...Nc6 6.e3 6...Nh5,5.0,Bxe6,"[1, 'None', 2, 'None', 2, 'None', 7, 'None', 3, 'None']","[204, 'None', 86, 'None', 119, 'None', 100, 'None', 189, 'None']",
1460,1.d4 1...d5 2.c4 2...f5 3.Nc3 3...c6,2.0,Nc3,"[1, 'None', 4, 'None']","[204, 'None', 80, 'None']",
1461,1.d4 1...d5 2.c4 2...Nf6 3.cxd5 3...Bf5 4.Nc3 4...Bg6 5.e3 5...Nbd7 6.Bd3 6...Rc8 7.Qc2 7...b6 8.Nf3 8...Ra8 9.Bd2 9...Ne4 10.Qb3 10...Nec5 11.Qa3 11...e6,10.0,Qd6,"[1, 'None', 1, 'None', 2, 'None', 6, 'None', 9, 'None', 6, 'None', 3, 'None', 10, 'None', -100, 'None', 8, 'None']","[204, 'None', 60, 'None', 72, 'None', 86, 'None', 166, 'None', 180, 'None', 282, 'None', 275, 'None', -100, 'None', -327, 'None']",
1462,1.d4 1...d5 2.c4 2...Nf6 3.cxd5 3...h6,2.0,dxc6,"[1, 'None', 1, 'None']","[204, 'None', 60, 'None']",
1463,1.d4 1...d5 2.c4 2...h5 3.Nc3 3...g5 4.e3 4...a6 5.Bd3 5...b5 6.cxd5 6...c5 7.dxc5 7...Ra7 8.Nf3 8...Nd7 9.Qa4+ 9...Ra8,8.0,Qxa8,"[1, 'None', 10, 'None', 17, 'None', 15, 'None', 1, 'None', 1, 'None', 6, 'None', -100, 'None']","[204, 'None', 62, 'None', 117, 'None', 108, 'None', 575, 'None', 486, 'None', 425, 'None', -100, 'None']",
1464,1.d4 1...d5 2.c4 2...e6 3.Nc3 3...Bb4 4.Bd2 4...c5 5.Qc2 5...Bd7 6.e4 6...Nc6,5.0,d5,"[1, 'None', 4, 'None', 12, 'None', 17, 'None', 16, 'None']","[204, 'None', 25, 'None', 15, 'None', -103, 'None', -180, 'None']",
1465,1.d4 1...d5 2.c4 2...c5 3.Nc3 3...g6 4.e4 4...h5 5.dxc5 5...dxc4 6.Bxc4 6...Nf6 7.Qa4+ 7...b5 8.Qxb5 8...Nc6 9.Qa6 9...Kd7 10.Qxc6+ 10...Kxc6,9.0,checkmate,"[1, 'None', 4, 'None', -100, 'None', 4, 'None', 11, 'None', 5, 'None', 3, 'None', -100, 'None', 8, 'None']","[204, 'None', 37, 'None', -100, 'None', 92, 'None', 155, 'None', 177, 'None', 226, 'None', -100, 'None', 37, 'None']",
1466,1.d4 1...d5 2.c4 2...h5 3.Nc3 3...a6 4.e3 4...Ra7,3.0,Bxa6,"[1, 'None', 10, 'None', 4, 'None']","[204, 'None', 62, 'None', 85, 'None']",
1467,1.d4 1...d5 2.c4 2...c5 3.Nc3 3...Nf6 4.dxc5 4...b6,3.0,Bb5+,"[1, 'None', 4, 'None', 7, 'None']","[204, 'None', 37, 'None', -59, 'None']",
1468,1.d4 1...d5 2.c4 2...e5 3.dxe5 3...Be7 4.Nc3 4...Qd7 5.Nf3 5...g5 6.e4 6...Bf8 7.Bf4 7...Bg7,6.0,Bd6,"[1, 'None', 1, 'None', 7, 'None', 3, 'None', -100, 'None', -100, 'None']","[204, 'None', 74, 'None', 92, 'None', 386, 'None', -100, 'None', -100, 'None']",
1469,1.d4 1...d5 2.c4 2...Bf5 3.Nc3 3...a6 4.e3 4...g5,3.0,dxe5,"[1, 'None', 4, 'None', 10, 'None']","[204, 'None', 49, 'None', 85, 'None']",
1470,1.d4 1...d5 2.c4 2...h6 3.Nf3 3...Bf5 4.e3 4...dxc4 5.Bxc4 5...Bc8 6.d5 6...Qd7 7.d6 7...Qg4 8.d7 8...Bxd7,7.0,d8=Q,"[1, 'None', 8, 'None', 8, 'None', 3, 'None', -100, 'None', -100, 'None', -100, 'None']","[204, 'None', 56, 'None', 56, 'None', 81, 'None', -100, 'None', -100, 'None', -100, 'None']",
1471,1.d4 1...d5 2.c4 2...Nf6 3.Nc3 3...Ne4 4.Nxe4 4...Nc6,3.0,Nxc6,"[1, 'None', 3, 'None', 14, 'None']","[204, 'None', 32, 'None', 31, 'None']",
1472,1.d4 1...d5 2.c4 2...Qd7 3.Nc3 3...Na6 4.e4 4...e6,3.0,dxe5,"[1, 'None', 4, 'None', 20, 'None']","[204, 'None', 99, 'None', 45, 'None']",
1473,1.d4 1...d5 2.c4 2...e5 3.dxe5 3...Qe7 4.Nc3 4...a6 5.Bf4 5...Qd8 6.e6 6...b6 7.e7 7...b5 8.c5 8...Kxe7 9.Nd5+ 9...Kd7 10.Nf6+ 10...Ke7,9.0,checkmate,"[1, 'None', 1, 'None', 1, 'None', -100, 'None', 7, 'None', 19, 'None', -100, 'None', 2, 'None', 6, 'None']","[204, 'None', 74, 'None', 182, 'None', -100, 'None', 217, 'None', 187, 'None', -100, 'None', 606, 'None', 622, 'None']",
1474,1.d4 1...d5 2.c4 2...b6 3.cxd5 3...c6 4.dxc6 4...e5 5.Nc3 5...Qc7 6.Nf3 6...e4,5.0,Nd4,"[1, 'None', 1, 'None', 2, 'None', 7, 'None', 6, 'None']","[204, 'None', 178, 'None', 201, 'None', 119, 'None', 242, 'None']",
1475,1.d4 1...d5 2.c4 2...c6 3.Nc3 3...Nh6 4.e3 4...Ng8,3.0,Bxh6,"[1, 'None', 2, 'None', 11, 'None']","[204, 'None', 42, 'None', 82, 'None']",
1476,1.d4 1...d5 2.c4 2...Qd7 3.Nc3 3...c6 4.e4 4...b5 5.Bd3 5...a5 6.a3 6...h6 7.Bxh6 7...Ra7 8.Bd2 8...Rb7,7.0,Bxa5,"[1, 'None', 4, 'None', 18, 'None', 19, 'None', 8, 'None', -100, 'None', 5, 'None']","[204, 'None', 99, 'None', 74, 'None', 38, 'None', 26, 'None', -100, 'None', 104, 'None']",
1477,1.d4 1...d5 2.c4 2...h6 3.Nc3 3...dxc4 4.e3 4...Qd7 5.Bxc4 5...Rh7 6.Bd3 6...Qd6 7.Qe2 7...Qc6,6.0,Qxc4,"[1, 'None', 5, 'None', 2, 'None', 2, 'None', 12, 'None', 6, 'None']","[204, 'None', 60, 'None', 62, 'None', 158, 'None', 240, 'None', 290, 'None']",
1478,1.d4 1...d5 2.c4 2...Bg4 3.Nf3 3...Nc6 4.e3 4...h5,3.0,Bxg4,"[1, 'None', 5, 'None', 2, 'None']","[204, 'None', 56, 'None', 58, 'None']",
1479,1.d4 1...d5 2.c4 2...Nf6 3.cxd5 3...e5 4.dxe5 4...Be6 5.Nc3 5...Nc6 6.Nb5 6...a5,5.0,Bxa5,"[1, 'None', 1, 'None', 2, 'None', 8, 'None', 16, 'None']","[204, 'None', 60, 'None', 105, 'None', 86, 'None', 5, 'None']",
1480,1.d4 1...d5 2.c4 2...Bf5 3.Nc3 3...Qd6 4.Qb3 4...b6 5.Bf4 5...e5 6.Bxe5 6...Qd8 7.Bf6 7...c5 8.dxc5 8...bxc5 9.Qa4+ 9...Nd7,8.0,Qxc4,"[1, 'None', 4, 'None', 2, 'None', -100, 'None', 1, 'None', -100, 'None', 15, 'None', 5, 'None']","[204, 'None', 49, 'None', 223, 'None', -100, 'None', 298, 'None', -100, 'None', -225, 'None', 111, 'None']",
